Scenario Name,Date,Euro area real GDP growth,Euro area inflation,Euro area bilateral dollar exchange rate (USD/euro),Developing Asia real GDP growth,Developing Asia inflation,"Developing Asia bilateral dollar exchange rate (F/USD, index)",Japan real GDP growth,Japan inflation,Japan bilateral dollar exchange rate (yen/USD),U.K. real GDP growth,U.K. inflation,U.K. bilateral dollar exchange rate (USD/pound)
Supervisory Baseline,2025 Q1,1.0,1.9,1.042,4.4,1.6,108.7,1.1,2.1,154.9,1.3,2.7,1.259
Supervisory Baseline,2025 Q2,1.0,1.9,1.048,4.3,1.6,108.8,1.0,2.1,152.6,1.1,2.7,1.266
Supervisory Baseline,2025 Q3,1.0,1.8,1.055,4.3,1.6,109.0,0.9,2.0,150.3,1.1,2.6,1.273
Supervisory Baseline,2025 Q4,1.1,1.8,1.061,4.2,1.7,109.1,0.9,1.9,148.1,1.2,2.5,1.280
Supervisory Baseline,2026 Q1,1.2,1.8,1.067,4.2,1.8,108.7,0.8,1.7,145.7,1.5,2.4,1.285
Supervisory Baseline,2026 Q2,1.3,1.8,1.073,4.1,1.9,108.4,0.8,1.7,143.4,1.6,2.3,1.289
Supervisory Baseline,2026 Q3,1.3,1.8,1.079,4.0,1.9,108.0,0.7,1.7,141.2,1.6,2.3,1.294
Supervisory Baseline,2026 Q4,1.3,1.8,1.086,3.9,1.9,107.6,0.6,1.8,139.0,1.5,2.3,1.299
Supervisory Baseline,2027 Q1,1.1,1.8,1.086,3.8,1.9,107.6,0.4,2.0,139.0,1.3,2.3,1.299
Supervisory Baseline,2027 Q2,1.1,1.8,1.086,3.7,1.9,107.6,0.3,2.2,139.0,1.1,2.3,1.299
Supervisory Baseline,2027 Q3,1.1,1.8,1.086,3.6,1.9,107.6,0.3,2.2,139.0,1.1,2.3,1.299
Supervisory Baseline,2027 Q4,1.1,1.8,1.086,3.6,1.9,107.6,0.4,2.2,139.0,1.1,2.3,1.299
Supervisory Baseline,2028 Q1,1.1,1.8,1.086,3.6,2.0,107.6,0.5,2.1,139.0,1.2,2.3,1.299
